build_table,build_table_column,regnskap_no_concept_id,note
aksjekapital_struktur,aksjeklasse,regnskap-no:Aksjekapital,
aksjekapital_struktur,antall_aksjer,regnskap-no:AksjekapitalAntallAksjer,
aksjekapital_struktur,palydende,regnskap-no:AksjekapitalPalydendeVerdi,
aksjekapital_struktur,bokfort_verdi,regnskap-no:Aksjekapital,
aksjonaerer,aksjonaer_idx,regnskap-no:AksjonaerstrukturNavn,
aksjonaerer,navn,regnskap-no:AksjonaerstrukturNavn,
aksjonaerer,antall_aksjer,regnskap-no:AksjonaerstrukturAntallAksjer,
aksjonaerer,eierandel_pct,regnskap-no:AksjonaerstrukturEierandel,
aksjonaerer,stemmeandel_pct,regnskap-no:AksjonaerstrukturEierandel,
aksjonaerer,aksjeklasse,regnskap-no:AksjonaerstrukturNavn,
aksjonaerer,verv,regnskap-no:AksjonaerstrukturNavn,
aksjonaerer,eid_av_person,regnskap-no:AksjonaerstrukturNavn,
aksjonaerer,aksjonaer_orgnr,regnskap-no:AksjonaerstrukturNavn,
anleggskontrakter,inntektsfort_igangv,regnskap-no:InntektsfortIgangv,
anleggskontrakter,kostnader_opptjent_inntekt_tap,regnskap-no:KostnaderOpptjentInntektTap,
anleggskontrakter,netto_resultatfort_igangv,regnskap-no:NettoResultatfortIgangv,
anleggskontrakter,estimert_gjenvarende_tap,regnskap-no:EstimertGjenvarendeTap,
anleggskontrakter,opptjent_ikke_fakturert,regnskap-no:OpptjentIkkeFakturert,
anleggskontrakter,forskuddsfakturert,regnskap-no:ForskuddsfakturertProduksjon,
anleggskontrakter_konsern,inntektsfort_igangv,regnskap-no:InntektsfortIgangv,
anleggskontrakter_konsern,kostnader_opptjent_inntekt_tap,regnskap-no:KostnaderOpptjentInntektTap,
anleggskontrakter_konsern,netto_resultatfort_igangv,regnskap-no:NettoResultatfortIgangv,
anleggskontrakter_konsern,estimert_gjenvarende_tap,regnskap-no:EstimertGjenvarendeTap,
anleggskontrakter_konsern,opptjent_ikke_fakturert,regnskap-no:OpptjentIkkeFakturert,
anleggskontrakter_konsern,forskuddsfakturert,regnskap-no:ForskuddsfakturertProduksjon,
